Date,Description,Category,Amount
01/02/2024,Marshalls,Shopping,63.42
02/02/2024,Marshalls,Shopping,58.7
05/02/2024,Banana Republic,Shopping,64.18
05/12/2024,Banana Republic,Shopping,80.29
05/31/2024,Macy's,Shopping,90.14
06/03/2024,Marshalls,Shopping,79.09
06/05/2024,Taxi,Travel,46.33
07/30/2024,MTA,Travel,49.15
08/09/2024,Quests,Healthcare,91.0
08/12/2024,Marshalls,Shopping,66.34
08/18/2024,United Airlines,Travel,82.99
08/30/2024,Emblem Premium,Healthcare,30.03
09/07/2024,American Airlines,Travel,33.28
10/12/2024,Quests,Healthcare,86.35
10/26/2024,American Airlines,Travel,62.43
10/31/2024,Macy's,Shopping,58.51
12/18/2024,Delta,Travel,84.3
12/21/2024,MTA,Travel,30.96
